-7.249184,12.10916,20.63535
-7.124849,12.13348,20.66434
-7.122331,11.97126,20.75961
-6.956918,11.84053,20.89027
-6.833992,11.53819,21.09897
-6.689748,11.17124,21.34129
-6.184915,10.55981,21.79994
-5.77726,10.07159,22.14015
-5.294055,9.552106,22.48845
-5.02779,9.061859,22.75091
-4.606174,8.678415,22.98844
-4.375134,8.323065,23.1643
-4.073932,8.107326,23.29537
-3.901203,7.933063,23.38476
-3.602698,7.611866,23.53891
-3.456718,7.48558,23.60121
-3.101594,7.176314,23.74617
-2.834927,7.071746,23.81079
-2.510035,6.971261,23.87679
-2.107534,6.679776,23.99873
-1.70858,6.481658,24.08462
-1.221954,6.275308,24.16873
-0.691347,6.112937,24.23126
-0.1489401,6.18017,24.22361
0.4195375,6.263766,24.19895
0.8092349,6.479887,24.13206
1.330987,6.678542,24.05464
1.712251,6.877467,23.97433
2.012734,7.346227,23.81138
2.357292,7.586025,23.70433
2.741487,7.984877,23.53138
2.944264,8.36674,23.37368
3.187861,8.85577,23.16059
3.287321,9.31749,22.96471
3.608936,9.88954,22.67537
3.831732,10.38615,22.4153
4.010171,10.93509,22.12108
4.196908,11.42127,21.83897
4.394938,11.78904,21.60331
4.631152,12.19335,21.32779
4.840804,12.62921,21.02546
5.05441,12.81953,20.85935
5.47317,13.13933,20.55243
6.038216,13.27336,20.3066
6.501279,13.33129,20.12486
6.983214,13.36582,19.93965
7.498543,13.21985,19.84962
7.935321,13.10795,19.75379
8.269392,12.91447,19.7442
8.586073,12.78359,19.69414
8.99737,12.53317,19.67148
9.295492,12.32604,19.66374
9.63672,12.13166,19.62031
9.909274,11.87419,19.64205
10.22669,11.6144,19.63467
10.47971,11.38523,19.63548
10.82707,11.12242,19.59761
11.03269,10.8961,19.61007
11.34204,10.51346,19.64244
11.49195,10.27696,19.68042
11.7794,9.899533,19.70393
12.06839,9.539051,19.70686
12.36078,9.244953,19.66575
12.61478,8.999228,19.61839
12.88267,8.658148,19.59779
13.1297,8.319986,19.58032
13.37237,8.140191,19.49146
13.55897,8.041226,19.40343
13.70592,7.992216,19.32025
13.94575,7.900566,19.18586
14.1543,7.780164,19.08205
14.23045,7.773994,19.02786
14.1913,7.860158,19.0217
14.44753,7.836831,18.83754
14.64666,7.752813,18.71815
14.79245,7.773107,18.59469
14.98769,7.816226,18.41944
14.99043,7.785343,18.43028
14.87324,7.966314,18.44789
14.84298,7.962392,18.47393
14.72826,7.958795,18.56706
14.63576,7.880224,18.67342
